feature,importance,importance_%
home_defense_str,0.08090832280846529,8.09
combined_sot_ratio,0.07333487965069851,7.33
home_attack_str,0.07302241520656803,7.3
away_attack_str,0.06466082979588483,6.47
away_defense_str,0.06174412346036308,6.17
away_season_goals_a,0.05186895662456175,5.19
away_fouls_pg_roll,0.051036192021408675,5.1
p_over25_poisson_dc,0.047673692978580116,4.77
home_fouls_pg_roll,0.04372199930490563,4.37
away_season_conceded_a,0.043546806189544505,4.35
home_season_goals_h,0.04255930771911935,4.26
home_season_conceded_h,0.04128457521576841,4.13
home_corners_pg_roll,0.03884986620480617,3.88
away_corners_pg_roll,0.032658203731276904,3.27
home_rest_days,0.02897268773404278,2.9
away_rest_days,0.025431276803379598,2.54
away_cs_rate_a,0.0251240822020638,2.51
home_cs_rate_h,0.023592912094968266,2.36
home_conceded_last5,0.022063235485072406,2.21
away_scored_last5,0.019444590404974534,1.94
away_conceded_last5,0.017733426874331534,1.77
away_home_adv_factor,0.014975840121733336,1.5
home_advantage,0.013558208217511148,1.36
home_scored_last5,0.01216976860818953,1.22
away_over25_last5,0.008222997185543516,0.82
combined_ht_goals_avg,0.006232374363230268,0.62
home_over25_last5,0.005710404142608417,0.57
away_ht_conceded_last5,0.004188188266095578,0.42
home_ht_conceded_last5,0.003649703907155657,0.36
home_ht_over15_rate,0.0036489754804749255,0.36
away_ht_over15_rate,0.0032128729975409646,0.32
away_ht_attack_str,0.002596617679383729,0.26
bookmaker_overround,0.002552685474988112,0.26
away_ht_scored_last5,0.0020338806423575414,0.2
home_ht_over05_rate,0.0018747115241663102,0.19
away_ht_over05_rate,0.0017348827292556783,0.17
home_ht_attack_str,0.0012779566544189613,0.13
home_ht_scored_last5,0.0009729948382125958,0.1
away_xg_last5,0.0008142283728671421,0.08
home_insidebox_last5,0.0007004237154713888,0.07
home_xg_last5,0.00047482143328751047,0.05
away_insidebox_last5,0.00016508113472363917,0.02
