feature,importance,importance_%
bookmaker_overround,0.3184380103970471,31.84
away_ht_over15_rate,0.03995440647377164,4.0
home_season_goals_h,0.03767984078889629,3.77
home_rest_days,0.032798923679903766,3.28
away_corners_pg_roll,0.03235581117592449,3.24
away_fouls_pg_roll,0.029658437457408163,2.97
away_season_goals_a,0.02951244486656483,2.95
combined_sot_ratio,0.028506337626403026,2.85
combined_ht_goals_avg,0.028114829908395096,2.81
away_ht_over05_rate,0.025967724573434,2.6
away_defense_str,0.025038536573982487,2.5
away_attack_str,0.02498146271602816,2.5
home_defense_str,0.0237787503286865,2.38
home_attack_str,0.021410155510071815,2.14
home_fouls_pg_roll,0.021334174592632503,2.13
away_season_conceded_a,0.02081099930945326,2.08
home_corners_pg_roll,0.0189725384872454,1.9
away_rest_days,0.016378175816206163,1.64
away_ht_conceded_last5,0.015720267344531105,1.57
home_season_conceded_h,0.015669806484811002,1.57
home_over25_last5,0.01415661709665099,1.42
away_xg_last5,0.013240670212975088,1.32
away_insidebox_last5,0.013122841364322268,1.31
away_cs_rate_a,0.01306621351023712,1.31
home_ht_conceded_last5,0.012754151384251806,1.28
p_over25_poisson_dc,0.012526129475707243,1.25
home_ht_over05_rate,0.011419579039522334,1.14
home_ht_over15_rate,0.01093383783019234,1.09
away_ht_scored_last5,0.010404048926592623,1.04
home_insidebox_last5,0.009672695749535562,0.97
home_cs_rate_h,0.008908535444046784,0.89
home_xg_last5,0.008251660570510504,0.83
away_over25_last5,0.0076111348520467624,0.76
away_ht_attack_str,0.007169930468104766,0.72
away_home_adv_factor,0.006830017391584024,0.68
home_scored_last5,0.0067977736008201185,0.68
away_scored_last5,0.006281689680042134,0.63
home_advantage,0.005982504423259352,0.6
home_ht_attack_str,0.004841892475441838,0.48
home_conceded_last5,0.0031771977753862505,0.32
home_ht_scored_last5,0.0031545174956229553,0.32
away_conceded_last5,0.00261472712175029,0.26
