feature,importance,importance_%
away_attack_str,0.09742820487058106,9.74
away_defense_str,0.07088931464248144,7.09
home_defense_str,0.0697908274351994,6.98
home_attack_str,0.06835884234934131,6.84
home_season_goals_h,0.06304839262265347,6.3
away_season_conceded_a,0.05441089994820685,5.44
away_season_goals_a,0.048392902603704865,4.84
home_season_conceded_h,0.04701808300318823,4.7
away_over25_last5,0.03711378730352286,3.71
home_over25_last5,0.03673681647647132,3.67
home_cs_rate_h,0.034882542260225,3.49
p_over25_poisson_dc,0.03387632757394282,3.39
away_rest_days,0.03105090428084804,3.11
away_conceded_last5,0.02919665472450792,2.92
away_cs_rate_a,0.026429593510073124,2.64
bookmaker_overround,0.022238560544948275,2.22
home_rest_days,0.022122236902508707,2.21
away_home_adv_factor,0.019948005038347514,1.99
away_fouls_pg_roll,0.01928574879724071,1.93
home_conceded_last5,0.018436359933804426,1.84
home_advantage,0.014295788967905303,1.43
away_corners_pg_roll,0.013216696324607907,1.32
away_scored_last5,0.012228389983278368,1.22
home_scored_last5,0.011402575498508084,1.14
combined_sot_ratio,0.011137420577610972,1.11
home_fouls_pg_roll,0.010606915947463066,1.06
home_corners_pg_roll,0.010240704420126787,1.02
combined_ht_goals_avg,0.009189758598074079,0.92
away_ht_conceded_last5,0.007640878471235139,0.76
home_ht_over05_rate,0.006621809157863245,0.66
home_ht_conceded_last5,0.006275753033290861,0.63
home_xg_last5,0.005050302827400967,0.51
away_ht_over15_rate,0.004496479595369007,0.45
away_ht_over05_rate,0.004056138706571618,0.41
away_xg_last5,0.0035116549959883906,0.35
home_insidebox_last5,0.003509651179456234,0.35
home_ht_over15_rate,0.003374568795646633,0.34
away_ht_scored_last5,0.0027951633611673857,0.28
home_ht_scored_last5,0.002724433705725777,0.27
away_insidebox_last5,0.0026263035201705754,0.26
home_ht_attack_str,0.002557889975631207,0.26
away_ht_attack_str,0.0017857175351110052,0.18
