feature,importance,importance_%
p_over25_poisson_dc,0.11450399937648442,11.45
home_over25_last5,0.10616173073990054,10.62
away_over25_last5,0.08519638317860838,8.52
home_season_goals_h,0.06437555188228121,6.44
away_season_conceded_a,0.06093408450326073,6.09
away_conceded_last5,0.04972496213221531,4.97
away_season_goals_a,0.04340497444477785,4.34
home_defense_str,0.04204684458645904,4.2
home_season_conceded_h,0.03923540886530048,3.92
away_defense_str,0.03564371381566963,3.56
home_corners_pg_roll,0.03379117022057057,3.38
away_fouls_pg_roll,0.033065599831556755,3.31
home_attack_str,0.02914293807733609,2.91
combined_sot_ratio,0.02868628690780483,2.87
away_attack_str,0.0284366668666214,2.84
home_fouls_pg_roll,0.026941369568577928,2.69
away_corners_pg_roll,0.022609711561746286,2.26
away_rest_days,0.02148467942949156,2.15
home_rest_days,0.018493116468999586,1.85
home_conceded_last5,0.017257052777628897,1.73
home_cs_rate_h,0.016140192813714448,1.61
away_cs_rate_a,0.014079196039383153,1.41
home_scored_last5,0.011214573547343126,1.12
away_scored_last5,0.010631205620333711,1.06
home_ht_conceded_last5,0.0062603103177948476,0.63
combined_ht_goals_avg,0.0048552317176952485,0.49
away_ht_over15_rate,0.004786373175817958,0.48
bookmaker_overround,0.004450615440973255,0.45
home_ht_over05_rate,0.004335769614747793,0.43
away_ht_conceded_last5,0.0035095536200238303,0.35
away_home_adv_factor,0.0034796077129258,0.35
home_advantage,0.0034146492271867994,0.34
away_ht_attack_str,0.0025003425474540587,0.25
home_ht_scored_last5,0.0023402984410789067,0.23
away_ht_over05_rate,0.002137837646007332,0.21
home_ht_over15_rate,0.0019212572651468099,0.19
home_ht_attack_str,0.0014018559453882553,0.14
away_ht_scored_last5,0.0008327681404209595,0.08
away_insidebox_last5,0.00025375545044774544,0.03
home_insidebox_last5,0.0001971025905033291,0.02
away_xg_last5,0.00012125789032125419,0.01
home_xg_last5,0.0,0.0
