feature,importance,importance_%
combined_sot_ratio,0.06396131356168235,6.4
home_defense_str,0.06217365449398095,6.22
away_attack_str,0.0617826121484615,6.18
home_season_goals_h,0.06073783685648797,6.07
away_defense_str,0.06069441136045112,6.07
bookmaker_overround,0.058978658078958676,5.9
home_attack_str,0.052958608717838564,5.3
away_season_goals_a,0.05192743006932794,5.19
away_season_conceded_a,0.04917527234781919,4.92
away_fouls_pg_roll,0.04873602570933979,4.87
home_corners_pg_roll,0.04509309952769734,4.51
home_fouls_pg_roll,0.04151254085311032,4.15
away_corners_pg_roll,0.0347236713868741,3.47
home_season_conceded_h,0.032547177105912074,3.25
p_over25_poisson_dc,0.026596461730516507,2.66
away_rest_days,0.023257025302369116,2.33
away_cs_rate_a,0.022469987778756754,2.25
home_cs_rate_h,0.019898439161537926,1.99
home_rest_days,0.018149247569775314,1.81
home_advantage,0.014221805012768459,1.42
home_ht_attack_str,0.011971016151722209,1.2
home_over25_last5,0.010724412012802408,1.07
away_ht_conceded_last5,0.010675065858481575,1.07
combined_ht_goals_avg,0.010458214336622345,1.05
home_ht_conceded_last5,0.010306233682991625,1.03
away_home_adv_factor,0.009919866270887898,0.99
home_conceded_last5,0.009776397893672347,0.98
home_scored_last5,0.00919391052393095,0.92
away_over25_last5,0.009126518593650858,0.91
home_ht_over15_rate,0.008361151472180478,0.84
away_scored_last5,0.008223939198194148,0.82
away_ht_over15_rate,0.006903004953840232,0.69
away_conceded_last5,0.006331990741321735,0.63
home_ht_scored_last5,0.006042420371981799,0.6
home_ht_over05_rate,0.006000667902861894,0.6
away_ht_attack_str,0.005883137825213664,0.59
away_ht_over05_rate,0.005578673902852264,0.56
away_ht_scored_last5,0.004928099533125507,0.49
away_insidebox_last5,0.0,0.0
home_xg_last5,0.0,0.0
away_xg_last5,0.0,0.0
home_insidebox_last5,0.0,0.0
