feature,importance,importance_%
implied_prob_under,0.1465297841513987,14.65
implied_prob_over,0.12784255933062638,12.78
home_over25_last5,0.11552505323625616,11.55
away_over25_last5,0.09504750293356715,9.5
away_defense_str,0.06027070226588586,6.03
away_attack_str,0.060243656085022065,6.02
home_defense_str,0.05439867574008222,5.44
combined_sot_ratio,0.05183358707474015,5.18
home_attack_str,0.04992628603394678,4.99
combined_fouls_pg,0.04852276180303562,4.85
combined_corners_pg,0.025392515723434605,2.54
referee_foul_avg,0.01817940638203944,1.82
away_rest_days,0.017696897769021953,1.77
away_pen_goals_pg,0.015743121678037316,1.57
home_rest_days,0.015268065874207459,1.53
away_sp_goals_pg,0.014143278264965739,1.41
home_sp_goals_pg,0.014060499828805424,1.41
home_pen_goals_pg,0.01320970948007252,1.32
away_scored_last5,0.011394559270188185,1.14
home_fk_goals_pg,0.011104652380804868,1.11
away_fk_goals_pg,0.009476629111096181,0.95
away_conceded_last5,0.009229398789297846,0.92
home_scored_last5,0.007920486508981795,0.79
home_conceded_last5,0.007040210284485584,0.7
home_advantage,0.0,0.0
