league,bets,wins,win_rate,pnl,roi_%,drawdown
League One,1086.0,724.0,0.667,421.0,38.77,-7.3
Bundesliga 2,617.0,406.0,0.658,234.65,38.03,-9.14
Denmark 1st Div,580.0,368.0,0.634,210.04,36.21,-6.0
League Two,1297.0,843.0,0.65,462.74,35.68,-11.65
La Liga 2,1267.0,727.0,0.574,439.72,34.71,-12.0
Dutch Eredivisie,879.0,527.0,0.6,291.77,33.19,-11.0
Ligue 2,1065.0,652.0,0.612,337.21,31.66,-11.67
Turkish Super Lig,1189.0,759.0,0.638,370.06,31.12,-10.11
Belgian First Division A,892.0,564.0,0.632,277.22,31.08,-10.04
Scottish Premiership,666.0,400.0,0.601,184.96,27.77,-7.56
Scottish League One,501.0,324.0,0.647,130.38,26.02,-9.55
Portuguese Primeira Liga,909.0,539.0,0.593,230.44,25.35,-8.1
Scottish Championship,630.0,387.0,0.614,142.03,22.54,-8.19
Scottish League Two,576.0,360.0,0.625,123.95,21.52,-10.4
Greek Super League,841.0,450.0,0.535,126.55,15.05,-17.03
