league,bets,wins,profit,roi_%
Argentina Primera Division,2508.0,1489.0,3580.94,142.78
Austrian Bundesliga,861.0,423.0,970.01,112.66
Brazil Serie A,1697.0,890.0,2276.07,134.12
China Super League,1142.0,547.0,2056.88,180.11
Denmark Superliga,861.0,426.0,861.08,100.01
Finland Veikkausliiga,741.0,342.0,653.11,88.14
Ireland Premier Division,819.0,387.0,990.49,120.94
Japan J-League,1376.0,696.0,1179.25,85.7
Mexico Liga MX,1510.0,715.0,1379.12,91.33
Norway Eliteserien,1055.0,469.0,1066.31,101.07
Sweden Allsvenskan,1045.0,491.0,1041.95,99.71
USA MLS,2289.0,1018.0,1579.84,69.02
