league,season,bets,wins,win_rate,pnl,roi_%
Belgian First Division A,2019/20,61,39,0.639,18.79,30.8
Belgian First Division A,2020/21,148,82,0.554,26.27,17.75
Belgian First Division A,2021/22,138,82,0.594,34.43,24.95
Belgian First Division A,2022/23,137,91,0.664,50.12,36.58
Belgian First Division A,2023/24,135,86,0.637,46.97,34.79
Belgian First Division A,2024/25,138,97,0.703,57.88,41.94
Belgian First Division A,2025/26,135,87,0.644,42.76,31.67
Bundesliga 2,2019/20,102,73,0.716,42.96,42.12
Bundesliga 2,2020/21,94,66,0.702,39.99,42.54
Bundesliga 2,2021/22,107,65,0.607,24.75,23.13
Bundesliga 2,2022/23,86,54,0.628,26.03,30.27
Bundesliga 2,2023/24,80,49,0.612,30.7,38.37
Bundesliga 2,2024/25,84,57,0.679,43.14,51.36
Bundesliga 2,2025/26,64,42,0.656,27.08,42.31
Denmark 1st Div,2019/20,62,35,0.565,13.63,21.98
Denmark 1st Div,2020/21,96,68,0.708,41.07,42.78
Denmark 1st Div,2021/22,104,65,0.625,29.36,28.23
Denmark 1st Div,2022/23,78,47,0.603,20.56,26.36
Denmark 1st Div,2023/24,86,52,0.605,32.24,37.49
Denmark 1st Div,2024/25,88,62,0.705,52.27,59.4
Denmark 1st Div,2025/26,66,39,0.591,20.91,31.68
Dutch Eredivisie,2019/20,92,52,0.565,38.19,41.51
Dutch Eredivisie,2020/21,136,80,0.588,46.57,34.24
Dutch Eredivisie,2021/22,141,83,0.589,29.73,21.09
Dutch Eredivisie,2022/23,144,84,0.583,40.88,28.39
Dutch Eredivisie,2023/24,115,68,0.591,39.68,34.5
Dutch Eredivisie,2024/25,141,100,0.709,68.98,48.92
Dutch Eredivisie,2025/26,110,60,0.545,27.74,25.22
Greek Super League,2019/20,117,61,0.521,13.9,11.88
Greek Super League,2020/21,145,66,0.455,2.52,1.74
Greek Super League,2021/22,175,81,0.463,6.23,3.56
Greek Super League,2022/23,91,56,0.615,30.73,33.77
Greek Super League,2023/24,120,76,0.633,37.12,30.93
Greek Super League,2024/25,125,71,0.568,24.44,19.55
Greek Super League,2025/26,68,39,0.574,11.61,17.07
La Liga 2,2019/20,164,94,0.573,79.87,48.7
La Liga 2,2020/21,166,90,0.542,66.48,40.05
La Liga 2,2021/22,235,139,0.591,78.24,33.29
La Liga 2,2022/23,186,90,0.484,36.58,19.67
La Liga 2,2023/24,181,100,0.552,56.03,30.96
La Liga 2,2024/25,209,129,0.617,74.39,35.59
La Liga 2,2025/26,126,85,0.675,48.13,38.2
League One,2019/20,153,117,0.765,91.4,59.74
League One,2020/21,167,118,0.707,79.86,47.82
League One,2021/22,169,109,0.645,52.62,31.14
League One,2022/23,155,90,0.581,35.91,23.17
League One,2023/24,157,102,0.65,50.98,32.47
League One,2024/25,167,108,0.647,59.07,35.37
League One,2025/26,118,80,0.678,51.16,43.36
League Two,2019/20,184,122,0.663,72.12,39.2
League Two,2020/21,177,126,0.712,86.61,48.93
League Two,2021/22,247,148,0.599,68.67,27.8
League Two,2022/23,166,97,0.584,39.69,23.91
League Two,2023/24,172,112,0.651,61.21,35.59
League Two,2024/25,202,133,0.658,72.3,35.79
League Two,2025/26,149,105,0.705,62.14,41.7
Ligue 2,2019/20,162,97,0.599,50.68,31.28
Ligue 2,2020/21,156,103,0.66,68.31,43.79
Ligue 2,2021/22,163,83,0.509,20.4,12.52
Ligue 2,2022/23,162,94,0.58,41.73,25.76
Ligue 2,2023/24,173,114,0.659,72.18,41.72
Ligue 2,2024/25,153,97,0.634,48.95,31.99
Ligue 2,2025/26,96,64,0.667,34.96,36.42
Portuguese Primeira Liga,2019/20,114,74,0.649,44.17,38.75
Portuguese Primeira Liga,2020/21,129,71,0.55,21.97,17.03
Portuguese Primeira Liga,2021/22,141,86,0.61,35.98,25.52
Portuguese Primeira Liga,2022/23,139,87,0.626,50.56,36.37
Portuguese Primeira Liga,2023/24,150,96,0.64,50.76,33.84
Portuguese Primeira Liga,2024/25,138,71,0.514,14.69,10.64
Portuguese Primeira Liga,2025/26,98,54,0.551,12.31,12.56
Scottish Championship,2019/20,63,36,0.571,7.68,12.19
Scottish Championship,2020/21,77,48,0.623,17.45,22.66
Scottish Championship,2021/22,112,66,0.589,24.95,22.28
Scottish Championship,2022/23,94,60,0.638,25.92,27.57
Scottish Championship,2023/24,88,58,0.659,24.88,28.27
Scottish Championship,2024/25,107,63,0.589,19.63,18.35
Scottish Championship,2025/26,89,56,0.629,21.52,24.18
Scottish League One,2019/20,39,23,0.59,8.68,22.26
Scottish League One,2020/21,56,43,0.768,29.36,52.43
Scottish League One,2021/22,95,65,0.684,27.35,28.79
Scottish League One,2022/23,74,49,0.662,20.87,28.2
Scottish League One,2023/24,44,27,0.614,13.09,29.75
Scottish League One,2024/25,106,64,0.604,18.16,17.13
Scottish League One,2025/26,87,53,0.609,12.87,14.79
Scottish League Two,2019/20,48,24,0.5,-0.39,-0.81
Scottish League Two,2020/21,60,44,0.733,26.18,43.63
Scottish League Two,2021/22,96,65,0.677,27.89,29.05
Scottish League Two,2022/23,86,59,0.686,26.43,30.73
Scottish League Two,2023/24,104,64,0.615,20.27,19.49
Scottish League Two,2024/25,121,64,0.529,4.51,3.73
Scottish League Two,2025/26,61,40,0.656,19.06,31.25
Scottish Premiership,2019/20,69,41,0.594,18.69,27.09
Scottish Premiership,2020/21,81,46,0.568,18.28,22.57
Scottish Premiership,2021/22,115,68,0.591,38.14,33.17
Scottish Premiership,2022/23,88,48,0.545,18.27,20.76
Scottish Premiership,2023/24,94,56,0.596,25.84,27.49
Scottish Premiership,2024/25,116,68,0.586,22.9,19.74
Scottish Premiership,2025/26,103,73,0.709,42.84,41.59
Turkish Super Lig,2019/20,135,77,0.57,25.49,18.88
Turkish Super Lig,2020/21,209,139,0.665,71.24,34.09
Turkish Super Lig,2021/22,204,133,0.652,62.08,30.43
Turkish Super Lig,2022/23,144,86,0.597,39.54,27.46
Turkish Super Lig,2023/24,189,133,0.704,85.53,45.25
Turkish Super Lig,2024/25,167,106,0.635,55.06,32.97
Turkish Super Lig,2025/26,141,85,0.603,31.12,22.07
