player_name,team,position,price,minutes_pg,p_goal,p_assist,p_sot2,attack_pts,dc_pts,cs_pts,bonus_pts,def_actions_pg,fantasy_pts,xpts_rot,p_start,is_pen_taker,value,availability,injured,doubtful,chance_of_playing,fpl_matched,fpl_ep_next,fpl_ppg,fpl_form,total_points,owned_pct,next_fixtures,avg_fdr,fixtures_available,fixture_adj_pts,n_fixtures_next,total_xpts_next,total_xpts_rot,overall_rank,pos_rank,captain_pick
Bukayo Saka,Arsenal,MID,9.5,79.0,0.519,0.595,0.435,4.575,1.801,0.158,1.331,8.0,9.865,9.174,0.93,True,1.038,available,False,False,,True,3.2,5.1,0.0,157.0,10.8,COV(H2) · AVL(A4) · CHE(H4) · SUN(A3) · BHA(A3),3.2,True,9.732,5,48.66,45.25,1,1,True
Jérémy Doku,Man City,MID,7.5,75.4,0.304,0.54,0.201,3.227,1.553,0.187,0.978,6.5,7.945,5.879,0.74,True,1.059,available,False,False,,True,2.6,4.0,0.0,120.0,6.6,BOU(H3) · CRY(A3) · COV(H2) · MUN(A4) · SUN(H2),2.8,True,8.051,5,40.26,29.79,2,2,True
Hugo Ekitiké,Liverpool,FWD,7.5,86.8,0.556,0.133,0.562,2.874,1.315,0.0,0.938,4.5,7.127,0.0,0.0,False,0.95,injured,True,False,0.0,True,0.0,4.5,0.0,125.0,0.2,NEW(A3) · NFO(H3) · IPS(A2) · FUL(H2) · BOU(A3),2.6,True,7.213,5,36.07,0.0,3,1,False
Cody Gakpo,Liverpool,MID,7.0,83.0,0.307,0.176,0.312,2.203,1.316,0.204,0.75,5.6000000000000005,6.473,6.149,0.95,True,0.925,available,False,False,,True,2.4,3.6,0.0,131.0,3.4,NEW(A3) · NFO(H3) · IPS(A2) · FUL(H2) · BOU(A3),2.6,True,6.539,5,32.7,31.06,4,3,True
Erling Haaland,Man City,FWD,15.5,90.0,0.499,0.127,0.474,2.588,1.012,0.0,0.826,3.7,6.426,6.362,0.99,True,0.415,available,False,False,,True,4.0,6.8,0.0,239.0,74.9,BOU(H3) · CRY(A3) · COV(H2) · MUN(A4) · SUN(H2),2.8,True,6.511,5,32.56,32.23,5,2,False
Dominic Calvert-Lewin,Leeds,FWD,6.0,89.6,0.353,0.058,0.184,1.668,1.747,0.0,0.697,6.3,6.112,5.745,0.94,True,1.019,available,False,False,,True,2.0,4.1,0.0,142.0,17.7,NFO(A3) · BRE(H3) · BHA(A3) · NEW(H2) · CRY(H3),2.8,True,6.164,5,30.82,28.97,6,3,False
Pedro Porro,Spurs,DEF,5.5,90.0,0.056,0.147,0.031,0.791,1.897,0.748,0.673,9.1,6.109,5.987,0.98,False,1.111,available,False,False,,True,2.5,3.4,0.0,117.0,23.9,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,6.134,5,30.67,30.06,7,1,False
Rayan Aït-Nouri,Man City,DEF,5.5,63.6,0.056,0.125,0.03,0.728,1.883,0.748,0.651,8.9,6.01,4.928,0.82,False,1.093,available,False,False,,True,2.5,3.5,0.0,60.0,1.0,BOU(H3) · CRY(A3) · COV(H2) · MUN(A4) · SUN(H2),2.8,True,6.034,5,30.17,24.74,8,2,False
Dominik Szoboszlai,Liverpool,MID,7.0,90.0,0.161,0.246,0.103,1.589,1.553,0.204,0.645,6.5,5.991,5.991,1.0,True,0.856,available,False,False,,True,2.4,4.4,0.0,160.0,45.6,NEW(A3) · NFO(H3) · IPS(A2) · FUL(H2) · BOU(A3),2.6,True,6.039,5,30.19,30.19,9,4,False
Richarlison,Spurs,FWD,6.0,76.0,0.271,0.095,0.253,1.482,1.79,0.0,0.665,6.6,5.937,4.334,0.73,True,0.99,available,False,False,,True,2.0,3.7,0.0,119.0,1.6,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,5.983,5,29.91,21.83,10,4,False
Cristian Romero,Spurs,DEF,5.0,68.6,0.05,0.046,0.027,0.45,1.985,0.748,0.734,12.0,5.917,5.799,0.98,False,1.183,available,False,False,,True,2.2,4.0,0.0,91.0,1.0,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,5.931,5,29.65,29.06,11,3,False
Enzo Le Fée,Sunderland,MID,6.0,90.0,0.096,0.228,0.057,1.189,1.89,0.158,0.664,9.0,5.901,5.724,0.97,True,0.983,available,False,False,,True,2.1,4.1,0.0,147.0,7.1,IPS(A2) · FUL(H2) · BRE(A3) · ARS(H4) · MCI(A5),3.2,True,5.867,5,29.33,28.45,12,5,False
João Pedro,Chelsea,FWD,7.5,85.8,0.251,0.07,0.169,1.288,1.915,0.0,0.675,8.0,5.878,5.584,0.95,True,0.784,available,False,False,,True,2.3,5.1,0.0,177.0,48.8,FUL(A3) · BHA(H2) · ARS(A5) · HUL(H2) · BRE(A3),3.0,True,5.87,5,29.35,27.88,13,5,False
Antoine Semenyo,Man City,MID,8.5,75.0,0.286,0.237,0.29,2.27,0.703,0.187,0.683,3.9,5.843,5.843,1.0,True,0.687,available,False,False,,True,2.9,5.5,0.0,202.0,20.3,BOU(H3) · CRY(A3) · COV(H2) · MUN(A4) · SUN(H2),2.8,True,5.918,5,29.59,29.59,14,6,False
Sepp van den Berg,Brentford,DEF,5.0,90.0,0.047,0.039,0.027,0.411,1.851,0.935,0.603,8.5,5.8,5.742,0.99,False,1.16,available,False,False,,True,2.2,3.5,0.0,113.0,0.7,TOT(H3) · LEE(A3) · SUN(H2) · BOU(A3) · CHE(H4),3.0,True,5.804,5,29.02,28.73,15,4,False
