source,generated_at,match_date,league,home_team,away_team,market,side,model_prob,fair_odds,entry_odds,closing_odds,clv_pct,result,pnl,notes
live,2026-09-22 13:22,2026-09-26,League One,Bradford City,Barnsley,ht_under15,UNDER,0.7799,1.28,,,,,,
live,2026-09-22 13:22,2026-09-26,League One,Notts County,Blackpool,ht_under15,UNDER,0.782,1.28,,,,,,
live,2026-09-22 13:22,2026-09-26,League One,Milton Keynes Dons,Bromley FC,ht_under15,UNDER,0.7572,1.32,,,,,,
live,2026-09-22 13:22,2026-09-26,League One,Plymouth Argyle,Burton Albion,ht_under15,UNDER,0.7797,1.28,,,,,,
live,2026-09-22 13:22,2026-09-26,League One,Wycombe Wanderers,Reading,ht_under15,UNDER,0.7674,1.3,,,,,,
live,2026-09-22 13:22,2026-09-26,League One,Stevenage,Sheffield Wednesday,ht_under15,UNDER,0.8232,1.21,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Crawley Town,Barnet,ht_under15,UNDER,0.7544,1.33,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Swindon Town,Accrington Stanley,ht_under15,UNDER,0.8501,1.18,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Bristol Rovers,Exeter City,ht_under15,UNDER,0.8327,1.2,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Cheltenham Town,Chesterfield FC,ht_under15,UNDER,0.762,1.31,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Shrewsbury Town,Colchester United,ht_under15,UNDER,0.8496,1.18,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Rotherham United,Crewe Alexandra,ht_under15,UNDER,0.8136,1.23,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Fleetwood Town,Rochdale,ht_under15,UNDER,0.8255,1.21,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Newport County,Grimsby Town,ht_under15,UNDER,0.8404,1.19,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Tranmere Rovers,Walsall,ht_under15,UNDER,0.8401,1.19,,,,,,
live,2026-09-22 13:22,2026-09-26,League Two,Oldham Athletic,Salford City,ht_under15,UNDER,0.7984,1.25,,,,,,
live,2026-09-22 13:22,2026-09-26,La Liga 2,AD Ceuta FC,Real Sociedad B,ht_under15,UNDER,0.7509,1.33,,,,,,
live,2026-09-22 13:22,2026-09-26,La Liga 2,Granada CF,Andorra CF,ht_under15,UNDER,0.7967,1.26,,,,,,
live,2026-09-22 13:22,2026-09-26,La Liga 2,Celta Fortuna,Sabadell FC,ht_under15,UNDER,0.7649,1.31,,,,,,
live,2026-09-22 13:22,2026-09-27,La Liga 2,Mallorca,Almería,ht_under15,UNDER,0.7984,1.25,,,,,,
live,2026-09-22 13:22,2026-09-27,La Liga 2,Burgos CF,CD Eldense,ht_under15,UNDER,0.7612,1.31,,,,,,
live,2026-09-22 13:22,2026-09-27,La Liga 2,Oviedo,Sporting Gijón,ht_under15,UNDER,0.7566,1.32,,,,,,
live,2026-09-22 13:22,2026-09-28,La Liga 2,Leganés,CD Castellón,ht_under15,UNDER,0.7989,1.25,,,,,,
live,2026-09-23 09:56,2026-09-26,League One,Mansfield Town,Leyton Orient,ht_under15,UNDER,0.769,1.3,,,,,,
live,2026-09-23 09:56,2026-09-26,League One,Stockport County FC,Peterborough United,ht_under15,UNDER,0.7559,1.32,,,,,,
live,2026-09-23 09:56,2026-09-27,La Liga 2,SD Eibar,Las Palmas,ht_over15,OVER,0.7119,1.4,,,,,,
