league,match,score,elapsed_mins,has_prediction,pre_signal,pre_p_over,live_p_under,fair_under_odds,fair_over_odds,updated_at
Portuguese Primeira Liga,GIL Vicente vs Academico Viseu,0-1,29,False,-,,,,,19:59
Serie A,Juventus vs AC Milan,0-0,54,False,-,,,,,19:59
Ligue 1,Marseille vs Paris FC,2-2,56,False,-,,,,,19:59
Poland Ekstraklasa,Jagiellonia vs Slask Wroclaw,2-1,83,False,-,,,,,19:59
Greek Super League,Panathinaikos vs PAOK,3-0,69,False,-,,,,,19:59
Brazil Serie A,Cruzeiro vs Atletico Paranaense,1-1,45,False,-,,,,,19:59
Brazil Serie A,Internacional vs Santos,0-3,45,False,-,,,,,19:59
Brazil Serie A,Remo vs Flamengo,0-0,45,False,-,,,,,19:59
Croatia HNL,NK Slaven Belupo vs NK Lokomotiva Zagreb,0-0,45,False,-,,,,,19:59
Serbia Super Liga,Vojvodina vs Zemun,1-1,45,False,-,,,,,19:59
La Liga 2,Almeria vs Cadiz,3-1,45,False,-,,,,,19:59
La Liga,Espanyol vs Sevilla,0-0,45,False,-,,,,,19:59
