player_id,player_name,team,position,goals_pg,assists_pg,sot_pg,shots_pg,cards_pg,minutes_pg,rating_pg,saves_pg,games_used,player_career_avg_quality
157052,R. Calafiori,Arsenal,D,0.0,0.0,0.6,1.0,0.0,65.2,7.06,0.0,5.0,1.0
22224,Gabriel Magalhães,Arsenal,D,0.0,0.0,0.4,1.0,0.0,81.0,6.98,0.0,5.0,1.0
127817,P. Hincapié,Arsenal,D,0.0,0.2,0.2,0.2,0.0,60.8,6.98,0.0,5.0,1.0
313245,M. Lewis-Skelly,Arsenal,D,0.0,0.0,0.0,0.0,0.0,75.4,6.9,0.0,5.0,1.0
333682,Cristhian Mosquera,Arsenal,D,0.0,0.0,0.0,0.2,0.4,62.2,6.86,0.0,5.0,1.0
22090,W. Saliba,Arsenal,D,0.0,0.0,0.0,0.0,0.2,90.0,7.3,0.0,5.0,1.0
38746,J. Timber,Arsenal,D,0.0,0.4,0.0,0.0,0.0,53.6,6.8,0.0,5.0,1.0
19959,B. White,Arsenal,D,0.0,0.0,0.0,0.0,0.0,58.6,6.88,0.0,5.0,1.0
418403,Jaden Dixon,Arsenal,D,,,,,,,,,,
482903,M. Salmon,Arsenal,D,,,,,,,,,,
643,Gabriel Jesus,Arsenal,F,0.4,0.0,1.2,2.0,0.2,58.8,6.96,0.0,5.0,1.0
18979,V. Gyökeres,Arsenal,F,0.4,0.2,0.8,1.2,0.0,48.6,6.84,0.0,5.0,1.0
978,K. Havertz,Arsenal,F,0.4,0.4,0.6,1.2,0.2,53.0,6.88,0.0,5.0,1.0
1460,B. Saka,Arsenal,F,0.4,0.4,0.6,2.0,0.2,79.0,7.38,0.0,5.0,1.0
136723,N. Madueke,Arsenal,F,0.2,0.0,0.6,0.6,0.0,52.8,6.7,0.0,5.0,1.0
127769,Gabriel Martinelli,Arsenal,F,0.0,0.4,0.8,0.8,0.2,51.0,6.6,0.0,5.0,1.0
463908,B. Bailey-Joseph,Arsenal,F,,,,,,,,,,
457731,A. Annous,Arsenal,F,,,,,,,,,,
2273,Kepa,Arsenal,G,0.0,0.0,0.0,0.0,0.0,90.0,6.86,1.8,5.0,1.0
20619,I. Meslier,Arsenal,G,0.0,0.0,0.0,0.0,0.0,90.0,5.48,2.2,5.0,1.0
19465,David Raya,Arsenal,G,0.0,0.0,0.0,0.0,0.0,90.0,6.94,1.8,5.0,1.0
416697,J. Porter,Arsenal,G,,,,,,,,,,
403221,K. Ranson,Arsenal,G,,,,,,,,,,
342243,T. Setford,Arsenal,G,,,,,,,,,,
19586,E. Eze,Arsenal,M,0.2,0.0,0.8,1.6,0.0,57.2,7.0,0.0,5.0,1.0
47311,Mikel Merino,Arsenal,M,0.2,0.2,0.4,1.4,0.4,54.0,6.74,0.0,5.0,1.0
313236,E. Nwaneri,Arsenal,M,0.2,0.0,0.4,0.4,0.0,38.8,6.94,0.0,5.0,1.0
37127,M. Ødegaard,Arsenal,M,0.2,0.2,0.4,0.4,0.0,61.4,7.08,0.0,5.0,1.0
442044,M. Dowman,Arsenal,M,0.0,0.0,0.0,0.33,0.0,36.67,6.43,0.0,3.0,1.0
30407,C. Nørgaard,Arsenal,M,0.0,0.2,0.8,1.0,0.4,65.0,6.74,0.0,5.0,1.0
2937,D. Rice,Arsenal,M,0.0,0.0,0.0,0.0,0.2,84.8,7.2,0.0,5.0,1.0
47315,Martín Zubimendi,Arsenal,M,0.0,0.0,0.0,0.0,0.0,64.0,6.78,0.0,5.0,1.0
553530,I. Ibrahim,Arsenal,M,,,,,,,,,,
284457,L. Bogarde,Aston Villa,D,0.0,0.0,0.0,0.0,0.0,67.4,6.42,0.0,5.0,1.0
19298,M. Cash,Aston Villa,D,0.0,0.2,0.0,0.0,0.2,79.0,6.38,0.0,5.0,1.0
2724,L. Digne,Aston Villa,D,0.0,0.4,0.0,0.2,0.0,58.8,6.82,0.0,5.0,1.0
388013,Andrés García,Aston Villa,D,0.0,0.0,0.0,0.0,0.0,32.2,6.56,0.0,5.0,1.0
19354,E. Konsa,Aston Villa,D,0.0,0.0,0.0,0.4,0.0,90.0,7.0,0.0,5.0,1.0
889,V. Lindelöf,Aston Villa,D,0.0,0.0,0.0,0.4,0.0,74.4,6.56,0.0,5.0,1.0
138816,I. Maatsen,Aston Villa,D,0.0,0.2,0.0,0.2,0.0,67.6,6.34,0.0,5.0,1.0
19179,T. Mings,Aston Villa,D,0.0,0.0,0.2,0.6,0.2,90.0,6.36,0.0,5.0,1.0
46815,Pau Torres,Aston Villa,D,0.0,0.0,0.2,0.4,0.2,75.4,7.06,0.0,5.0,1.0
478441,M. Cissé,Aston Villa,D,,,,,,,,,,
415107,Y. Mosquera,Aston Villa,D,,,,,,,,,,
19366,O. Watkins,Aston Villa,F,1.0,0.2,1.8,2.6,0.2,76.0,7.52,0.0,5.0,1.0
19194,T. Abraham,Aston Villa,F,0.2,0.0,0.2,0.6,0.0,25.8,6.66,0.0,5.0,1.0
983,L. Bailey,Aston Villa,F,0.0,0.0,0.0,0.4,0.0,30.6,6.56,0.0,5.0,1.0
137303,E. Guessand,Aston Villa,F,0.0,0.0,0.0,0.33,0.0,61.67,6.5,0.0,3.0,1.0
464004,Alysson Edward,Aston Villa,F,,,,,,,,,,
514519,Brian Madjo,Aston Villa,F,,,,,,,,,,
553848,T. Mulley,Aston Villa,F,,,,,,,,,,
36878,M. Bizot,Aston Villa,G,0.0,0.0,0.0,0.0,0.0,90.0,6.55,3.0,2.0,1.0
19599,E. Martínez,Aston Villa,G,0.0,0.2,0.0,0.0,0.0,90.0,7.1,3.8,5.0,1.0
398004,S. Proctor,Aston Villa,G,,,,,,,,,,
284390,J. Wright,Aston Villa,G,,,,,,,,,,
19170,M. Rogers,Aston Villa,M,0.4,0.2,0.4,1.0,0.2,90.0,6.98,0.0,5.0,1.0
2287,R. Barkley,Aston Villa,M,0.2,0.2,0.4,0.8,0.2,62.4,6.48,0.0,5.0,1.0
19071,E. Buendía,Aston Villa,M,0.2,0.0,0.6,1.2,0.0,55.4,7.16,0.0,5.0,1.0
19191,J.  McGinn,Aston Villa,M,0.2,0.4,0.6,0.8,0.2,68.8,7.2,0.0,5.0,1.0
162714,A. Onana,Aston Villa,M,0.0,0.0,0.4,1.0,0.2,75.4,6.94,0.0,5.0,1.0
453101,B. Burrows,Aston Villa,M,,,,,,,,,,
416250,T. Carroll,Aston Villa,M,,,,,,,,,,
364566,George Hemmings,Aston Villa,M,,,,,,,,,,
