date,kickoff_utc,league,match,match_tier,player_id,fixture_id,player_name,team,position,market,model_prob,fair_odds,market_odds,fair_implied,edge_abs,edge_rel,ev,ges,confidence,lazy_factors,n_games,data_source,tier,kelly_stake
2026-08-22,2026-08-22T19:30:00+00:00,La Liga,Espanyol vs Real Madrid,PROP_LEAGUE,278,1570347.0,Kylian Mbappé,Real Madrid,F,sot,0.829,1.21,1.11,0.8499,-0.0209,-0.0246,-0.0798,0.83,0.623,,5,match_level,AVOID,0.0
2026-08-23,2026-08-23T13:00:00+00:00,Premier League,Manchester City vs Bournemouth,PROP_LEAGUE,1100,1557374.0,Erling Haaland,Manchester City,F,sot,0.821,1.22,,,,,,0.824,0.623,,5,match_level,AVOID,
2026-08-22,2026-08-22T19:30:00+00:00,La Liga,Espanyol vs Real Madrid,PROP_LEAGUE,759,1570347.0,Karim Benzema,Real Madrid,F,sot,0.751,1.33,,,,,,0.767,0.623,,5,match_level,AVOID,
2026-08-22,2026-08-22T19:30:00+00:00,La Liga,Espanyol vs Real Madrid,PROP_LEAGUE,762,1570347.0,Vinícius Júnior,Real Madrid,F,sot,0.733,1.36,1.18,0.7995,-0.0665,-0.0832,-0.1351,0.79,0.623,,5,match_level,AVOID,0.0
2026-08-26,2026-08-26T19:00:00+00:00,Champions League,Lyon vs Fenerbahçe,PROP_LEAGUE,1467,1622630.0,Alexandre Lacazette,Lyon,F,sot,0.724,1.38,,,,,,0.767,0.623,,5,match_level,AVOID,
2026-08-29,,Bundesliga 2,1. FC Heidenheim vs Dynamo Dresden,VALUABLE,24641,,Budu Zivzivadze,1. FC Heidenheim,F,sot,0.707,1.41,,,,,,0.743,0.623,,5,match_level,AVOID,
2026-08-23,2026-08-23T13:00:00+00:00,Premier League,Manchester City vs Bournemouth,PROP_LEAGUE,1100,1557374.0,Erling Haaland,Manchester City,F,sot2,0.706,1.42,,,,,,,0.623,,5,match_level,AVOID,
2026-08-23,2026-08-23T13:00:00+00:00,Premier League,Manchester City vs Bournemouth,PROP_LEAGUE,1100,1557374.0,Erling Haaland,Manchester City,F,goals,0.688,1.45,,,,,,0.824,0.623,,5,match_level,AVOID,
2026-08-22,2026-08-22T19:30:00+00:00,La Liga,Espanyol vs Real Madrid,PROP_LEAGUE,278,1570347.0,Kylian Mbappé,Real Madrid,F,goals,0.688,1.45,2.03,0.4647,0.2233,0.4804,0.3966,0.83,0.623,,5,match_level,VALUABLE,0.077
2026-08-23,2026-08-23T15:30:00+00:00,Premier League,Newcastle vs Liverpool,PROP_LEAGUE,20649,1557375.0,Yoane Wissa,Newcastle,F,sot,0.686,1.46,1.57,0.6009,0.0851,0.1416,0.077,0.639,0.623,,5,match_level,PAPER,0.0
2026-08-24,,La Liga 2,Granada CF vs Mallorca,MARKSMAN,50048,,Vedat Muriqi,Mallorca,F,sot,0.674,1.48,,,,,,0.79,0.623,,5,match_level,AVOID,
2026-08-29,,Bundesliga 2,Karlsruher SC vs VfL Wolfsburg,MARKSMAN,26107,,Marvin Wanitzek,Karlsruher SC,M,sot,0.673,1.49,,,,,,0.573,0.623,,5,match_level,AVOID,
2026-08-29,,Bundesliga 2,FC Energie Cottbus vs Greuther Fürth,VALUABLE,25411,,Felix Klaus,SpVgg Greuther Fürth,F,sot,0.667,1.5,,,,,,0.824,0.623,,5,match_level,AVOID,
2026-08-22,2026-08-22T18:45:00+00:00,Ligue 1,Toulouse vs Lyon,PROP_LEAGUE,1467,1552736.0,Alexandre Lacazette,Lyon,F,sot,0.644,1.55,,,,,,0.767,0.623,,5,match_level,AVOID,
