date,league,home_team,away_team,status
2026-05-03,Bundesliga 2,1. FC Magdeburg,Hertha Berlin,POSTPONED
2026-05-03,Bundesliga 2,Greuther Fürth,1. FC Nürnberg,POSTPONED
2026-05-03,Bundesliga 2,Elversberg,SC Paderborn,POSTPONED
2026-05-03,Bundesliga 2,Hannover 96,SC Preußen Münster,POSTPONED
2026-05-03,Bundesliga 2,Karlsruher SC,SV Darmstadt 98,POSTPONED
2026-05-03,La Liga 2,Real Racing Club de Santander,SD Huesca,POSTPONED
2026-05-03,Denmark Superliga,OB Odense BK,Silkeborg IF,POSTPONED
2026-05-03,Denmark Superliga,Randers FC,Vejle Boldklub,POSTPONED
2026-05-03,Poland Ekstraklasa,GKS Katowice,Nieciecza,POSTPONED
2026-05-03,Poland Ekstraklasa,Zagłębie Lubin,Cracovia Kraków,POSTPONED
2026-05-03,Poland Ekstraklasa,Pogoń Szczecin,Wisła Płock,POSTPONED
2026-05-04,Poland Ekstraklasa,Radomiak Radom,Lechia Gdańsk,POSTPONED
2026-05-08,Poland Ekstraklasa,Raków Częstochowa,Korona Kielce,POSTPONED
2026-05-08,Poland Ekstraklasa,Lech Poznań,Arka Gdynia,POSTPONED
2026-05-09,Poland Ekstraklasa,Widzew Łódź,Lechia Gdańsk,POSTPONED
2026-05-09,Poland Ekstraklasa,Jagiellonia Białystok,Pogoń Szczecin,POSTPONED
2026-05-09,Poland Ekstraklasa,Górnik Zabrze,Zagłębie Lubin,POSTPONED
2026-05-03,Austrian Bundesliga,Austria Wien,Hartberg,POSTPONED
2026-05-03,Sweden Allsvenskan,Malmo FF,Mjällby AIF,POSTPONED
