source,generated_at,signal_date,match_date,league,home_team,away_team,market,odds,edge_pct,ev_pct,model_prob,signal_tier,model_type,closing_odds,clv_pct,result,pnl,notes,side
live,2026-08-09 10:55,2026-08-09,2026-08-09,Argentina Primera Division,San Lorenzo,Atlético Huracán,over15,1.84,18.82,27.22,0.6914,SNIPER,new_format,3.5,-47.43,WIN,0.84,,
live,2026-08-09 10:55,2026-08-09,2026-08-12,Argentina Primera Division,Talleres,Lanus,over15,1.66,13.4,14.84,0.6918,SNIPER,new_format,1.53,8.5,WIN,0.66,,
live,2026-08-09 10:55,2026-08-09,2026-08-15,Argentina Primera Division,San Lorenzo,Union Santa Fe,over15,1.62,12.26,12.45,0.6941,SNIPER,new_format,1.51,7.28,LOSS,-1.0,,
live,2026-08-09 10:55,2026-08-09,2026-08-15,Argentina Primera Division,Aldosivi Mar del Plata,CA Tigre BA,over15,1.64,11.84,12.01,0.683,SNIPER,new_format,1.67,-1.8,LOSS,-1.0,,
live,2026-08-09 10:55,2026-08-09,2026-08-09,Argentina Primera Division,Defensa y Justicia,Newells Old Boys,over15,1.53,11.73,10.54,0.7225,SNIPER,new_format,2.62,-41.6,WIN,0.53,,
live,2026-08-09 10:55,2026-08-09,2026-08-10,Argentina Primera Division,Banfield,Belgrano de Cordoba,over15,1.56,10.07,8.3,0.6942,SNIPER,new_format,1.57,-0.64,WIN,0.56,,
live,2026-08-09 10:55,2026-08-09,2026-08-15,Argentina Primera Division,Estudiantes,Gimnasia La Plata,over15,1.61,11.29,10.76,0.6696,SNIPER,new_format,1.54,4.55,WIN,0.61,,
live,2026-08-09 10:55,2026-08-09,2026-08-15,Argentina Primera Division,Newells Old Boys,Deportivo Riestra,over15,1.59,13.79,14.52,0.6759,SNIPER,new_format,1.69,-5.92,WIN,0.59,,
live,2026-08-09 10:55,2026-08-09,2026-08-09,Argentina Primera Division,Gimnasia La Plata,Barracas Central,over15,1.57,10.67,9.34,0.6798,SNIPER,new_format,2.75,-42.91,WIN,0.57,,
live,2026-08-09 10:55,2026-08-09,2026-08-09,Argentina Primera Division,Argentinos Juniors,Racing Club,over15,1.54,11.93,10.97,0.6888,SNIPER,new_format,2.62,-41.22,WIN,0.54,,
live,2026-08-09 10:55,2026-08-09,2026-08-15,Argentina Primera Division,Belgrano de Cordoba,Independiente Rivadavia,over15,1.5,12.52,11.37,0.7017,SNIPER,new_format,1.49,0.67,WIN,0.5,,
live,2026-08-09 10:55,2026-08-09,2026-08-16,Argentina Primera Division,Platense,Boca Juniors,over15,1.54,12.44,11.75,0.6777,SNIPER,new_format,1.53,0.65,WIN,0.54,,
live,2026-08-09 18:17,2026-08-09,2026-08-16,Argentina Primera Division,Sarmiento de Junin,Atlético Huracán,over15,1.74,19.77,26.99,0.7298,SNIPER,new_format,1.62,7.41,WIN,0.74,,
live,2026-08-09 18:17,2026-08-09,2026-08-16,Argentina Primera Division,Central Córdoba,Instituto de Córdoba,over15,1.55,15.33,16.35,0.7506,SNIPER,new_format,1.5,3.33,LOSS,-1.0,,
live,2026-08-09 21:01,2026-08-09,2026-08-16,Argentina Primera Division,River Plate,Argentinos Juniors,over15,1.6,15.46,17.32,0.7333,SNIPER,new_format,1.48,8.11,WIN,0.6,,
live,2026-08-09 23:36,2026-08-09,2026-08-16,Argentina Primera Division,Barracas Central,Rosario Central,over15,1.54,11.7,10.61,0.7182,SNIPER,new_format,1.66,-7.23,LOSS,-1.0,,
live,2026-08-10 18:10,2026-08-10,2026-08-17,Argentina Primera Division,Estudiantes de Río Cuarto,Atlético Tucuman,over15,1.65,17.8,21.96,0.7392,SNIPER,new_format,1.6,3.12,LOSS,-1.0,,
live,2026-08-10 20:07,2026-08-10,2026-08-17,Argentina Primera Division,Lanus,Independiente,over15,1.54,11.14,9.74,0.7126,SNIPER,new_format,1.55,-0.65,WIN,0.54,,
live,2026-08-10 22:43,2026-08-10,2026-08-17,Argentina Primera Division,Velez Sarsfield BA,Defensa y Justicia,over15,1.52,14.21,14.19,0.7513,SNIPER,new_format,1.36,11.76,WIN,0.52,,
live,2026-08-11 09:11,2026-08-11,2026-08-18,Argentina Primera Division,Gimnasia Mendoza,Talleres,over15,1.65,15.17,17.62,0.7129,SNIPER,new_format,1.5,10.0,WIN,0.65,,
live,2026-08-15 08:40,2026-08-15,2026-08-21,Argentina Primera Division,Estudiantes de Río Cuarto,San Lorenzo,over15,1.67,14.34,16.54,0.6979,SNIPER,new_format,1.82,-8.24,LOSS,-1.0,,
live,2026-08-15 15:31,2026-08-15,2026-08-22,Japan J-League,Fagiano Okayama,Tokyo Verdy,over15,1.54,17.61,19.72,0.7774,SNIPER,new_format,,,,,,
live,2026-08-15 15:31,2026-08-15,2026-08-22,Serie B,Südtirol,Virtus Entella,over15,1.45,11.9,9.85,0.7576,SNIPER,standard,1.45,0.0,LOSS,-1.0,,
live,2026-08-15 15:31,2026-08-15,2026-08-21,Argentina Primera Division,Aldosivi Mar del Plata,Union Santa Fe,over15,1.52,12.47,11.54,0.7252,SNIPER,new_format,1.52,0.0,WIN,0.52,,
live,2026-08-15 19:10,2026-08-15,2026-08-22,Argentina Primera Division,Atlético Tucuman,Instituto de Córdoba,over15,1.53,15.55,16.38,0.7607,SNIPER,new_format,1.52,0.66,LOSS,-1.0,,
live,2026-08-16 00:52,2026-08-16,2026-08-23,Argentina Primera Division,Atlético Huracán,Deportivo Riestra,over15,1.59,15.63,17.44,0.7386,SNIPER,new_format,2.0,-20.5,LOSS,-1.0,,
live,2026-08-16 16:32,2026-08-16,2026-08-16,Brazil Serie A,Corinthians,Cruzeiro,over15,1.49,10.06,7.57,0.7223,SNIPER,new_format,1.49,0.0,WIN,0.49,,
live,2026-08-16 17:54,2026-08-16,2026-08-23,Argentina Primera Division,Barracas Central,Platense,over15,1.67,15.34,18.21,0.7079,SNIPER,new_format,1.79,-6.7,WIN,0.67,,
live,2026-08-16 17:54,2026-08-16,2026-08-23,Argentina Primera Division,Sarmiento de Junin,Estudiantes,over15,1.52,8.65,5.75,0.6957,MARKSMAN,new_format,1.49,2.01,WIN,0.52,,
live,2026-08-17 00:57,2026-08-17,2026-08-24,Argentina Primera Division,Racing Club,Boca Juniors,over15,1.56,13.46,13.59,0.7282,SNIPER,new_format,,,,,,
live,2026-08-18 01:45,2026-08-18,2026-08-25,Argentina Primera Division,Talleres,Rosario Central,over15,1.54,14.47,14.88,0.746,SNIPER,new_format,,,,,,
live,2026-08-18 01:45,2026-08-18,2026-08-25,Argentina Primera Division,Lanus,Argentinos Juniors,over15,1.62,13.59,14.61,0.7075,SNIPER,new_format,,,,,,
live,2026-08-19 09:23,2026-08-19,2026-08-22,La Liga 2,Oviedo,Leganés,over15,1.43,9.38,6.0,0.7413,MARKSMAN,standard,,,,,,
live,2026-08-19 10:00,2026-08-19,2026-08-23,La Liga 2,Sporting Gijón,Burgos CF,over15,1.47,11.69,9.78,0.7468,SNIPER,standard,,,,,,
live,2026-08-19 15:16,2026-08-19,2026-08-22,League One,Wigan Athletic,Leyton Orient,over15,1.31,5.31,-0.46,0.7599,VALUABLE,standard,,,,,,
live,2026-08-20 11:14,2026-08-20,2026-08-23,Brazil Serie A,Coritiba,Corinthians,over15,1.55,13.93,14.18,0.7367,SNIPER,new_format,1.59,-2.52,WIN,0.55,,
live,2026-08-21 14:53,2026-08-21,2026-08-23,Argentina Primera Division,Belgrano de Cordoba,Defensa y Justicia,over15,1.54,15.05,15.77,0.7518,SNIPER,new_format,1.53,0.65,WIN,0.54,,
live,2026-08-21 20:02,2026-08-21,2026-08-23,Argentina Primera Division,River Plate,Velez Sarsfield BA,over15,1.43,8.34,4.52,0.7309,MARKSMAN,new_format,1.43,0.0,WIN,0.43,,
live,2026-08-22 10:03,2026-08-22,2026-08-23,Argentina Primera Division,Atlético Huracán,Deportivo Riestra,btts,2.5,13.69,26.81,0.5073,SNIPER,new_format,8.0,-68.75,LOSS,-1.0,,
live,2026-08-22 10:03,2026-08-22,2026-08-24,Argentina Primera Division,CA Tigre BA,Central Córdoba,btts,2.49,13.04,25.07,0.5023,SNIPER,new_format,,,,,,
live,2026-08-22 10:03,2026-08-22,2026-08-23,Argentina Primera Division,Barracas Central,Platense,btts,2.38,10.56,17.73,0.4946,SNIPER,new_format,2.5,-4.8,WIN,1.38,,
live,2026-08-22 10:03,2026-08-22,2026-08-23,Argentina Primera Division,Belgrano de Cordoba,Defensa y Justicia,btts,2.2,10.28,15.21,0.5111,SNIPER,new_format,2.1,4.76,WIN,1.2,,
live,2026-08-22 10:03,2026-08-22,2026-08-23,Argentina Primera Division,River Plate,Velez Sarsfield BA,btts,2.33,10.97,18.16,0.4975,SNIPER,new_format,2.2,5.91,WIN,1.33,,
live,2026-08-22 10:03,2026-08-22,2026-08-25,Argentina Primera Division,Lanus,Argentinos Juniors,btts,2.2,8.36,10.99,0.5045,MARKSMAN,new_format,,,,,,
live,2026-08-22 10:03,2026-08-22,2026-08-23,Brazil Serie A,Coritiba,Corinthians,btts,2.15,10.24,14.6,0.5279,SNIPER,new_format,2.1,2.38,WIN,1.15,,
