player_id,player_name,team,position,number,age,league,league_id,season
6190,A. Chávez,Aldosivi,F,18.0,34.0,Argentina Primera Division,128,2026
560350,A. Fernandez,Aldosivi,F,31.0,20.0,Argentina Primera Division,128,2026
405692,A. Sosa,Aldosivi,M,22.0,22.0,Argentina Primera Division,128,2026
53722,A. Vombergar,Aldosivi,F,29.0,31.0,Argentina Primera Division,128,2026
6048,B. Cufré,Aldosivi,D,13.0,29.0,Argentina Primera Division,128,2026
524235,B. DadÃ­n,Aldosivi,M,16.0,19.0,Argentina Primera Division,128,2026
344891,B. Palavecino,Aldosivi,F,11.0,22.0,Argentina Primera Division,128,2026
125333,E. López,Aldosivi,D,14.0,25.0,Argentina Primera Division,128,2026
560365,F. Anso,Aldosivi,M,24.0,19.0,Argentina Primera Division,128,2026
6269,F. Gino,Aldosivi,M,13.0,32.0,Argentina Primera Division,128,2026
311320,F. Perruzzi,Aldosivi,M,15.0,24.0,Argentina Primera Division,128,2026
634730,Federico Laurelli,Aldosivi,M,17.0,21.0,Argentina Primera Division,128,2026
129898,G. Enrique,Aldosivi,D,2.0,25.0,Argentina Primera Division,128,2026
6634,I. Chicco,Aldosivi,G,23.0,29.0,Argentina Primera Division,128,2026
296493,J. Pombo,Aldosivi,D,32.0,24.0,Argentina Primera Division,128,2026
654549,J. Salinas,Aldosivi,M,40.0,19.0,Argentina Primera Division,128,2026
677996,Kevin Baez,Aldosivi,G,41.0,17.0,Argentina Primera Division,128,2026
30567,L. Castro,Aldosivi,M,19.0,36.0,Argentina Primera Division,128,2026
6437,L. Chávez,Aldosivi,M,80.0,24.0,Argentina Primera Division,128,2026
6143,L. Rodríguez,Aldosivi,D,18.0,32.0,Argentina Primera Division,128,2026
5910,L. Sigali,Aldosivi,D,2.0,38.0,Argentina Primera Division,128,2026
6563,Lucas Acosta,Aldosivi,G,42.0,30.0,Argentina Primera Division,128,2026
475004,M. Garcia,Aldosivi,M,8.0,20.0,Argentina Primera Division,128,2026
5654,M. Godoy,Aldosivi,F,21.0,23.0,Argentina Primera Division,128,2026
659417,Mateo Lambardi,Aldosivi,M,56.0,17.0,Argentina Primera Division,128,2026
669471,Mateo Vales,Aldosivi,D,38.0,19.0,Argentina Primera Division,128,2026
36357,N. Breitenbruch,Aldosivi,D,25.0,30.0,Argentina Primera Division,128,2026
6191,N. Cordero,Aldosivi,F,9.0,26.0,Argentina Primera Division,128,2026
50907,N. Gaitán,Aldosivi,M,10.0,38.0,Argentina Primera Division,128,2026
195757,N. Guzmán,Aldosivi,F,7.0,26.0,Argentina Primera Division,128,2026
6381,N. Linares,Aldosivi,M,5.0,29.0,Argentina Primera Division,128,2026
5632,N. Zalazar,Aldosivi,D,33.0,28.0,Argentina Primera Division,128,2026
677966,Pablo Argoytia,Aldosivi,M,37.0,,Argentina Primera Division,128,2026
58770,R. Bochi,Aldosivi,M,5.0,38.0,Argentina Primera Division,128,2026
6502,R. González,Aldosivi,D,4.0,25.0,Argentina Primera Division,128,2026
288756,R. Márquez,Aldosivi,F,20.0,23.0,Argentina Primera Division,128,2026
310986,S. Moya,Aldosivi,D,28.0,22.0,Argentina Primera Division,128,2026
5504,T. Fernández,Aldosivi,F,27.0,27.0,Argentina Primera Division,128,2026
653993,A. Alcaraz,Argentinos JRS,F,35.0,16.0,Argentina Primera Division,128,2026
358383,A. Lescano,Argentinos JRS,M,10.0,24.0,Argentina Primera Division,128,2026
311802,A. Núñez,Argentinos JRS,D,30.0,21.0,Argentina Primera Division,128,2026
