snapshot_date,snapshot_ts,match_date,league,match,market,odds
2026-08-09,2026-08-09T10:55:35,2026-08-09,Bundesliga 2,1. FC Nürnberg vs Dynamo Dresden,over25,1.72
2026-08-09,2026-08-09T10:55:35,2026-08-09,Bundesliga 2,1. FC Nürnberg vs Dynamo Dresden,under25,2.05
2026-08-09,2026-08-09T10:55:35,2026-08-09,Bundesliga 2,FC Energie Cottbus vs Hannover 96,over25,1.54
2026-08-09,2026-08-09T10:55:35,2026-08-09,Bundesliga 2,FC Energie Cottbus vs Hannover 96,over35,2.2
2026-08-09,2026-08-09T10:55:35,2026-08-09,Bundesliga 2,FC Energie Cottbus vs Hannover 96,under25,2.27
2026-08-09,2026-08-09T10:55:35,2026-08-09,Bundesliga 2,FC St. Pauli vs Greuther Fürth,over25,1.62
2026-08-09,2026-08-09T10:55:35,2026-08-09,Bundesliga 2,FC St. Pauli vs Greuther Fürth,under25,2.25
2026-08-09,2026-08-09T10:55:35,2026-08-14,Bundesliga 2,Eintracht Braunschweig vs VfL Bochum,over25,1.82
2026-08-09,2026-08-09T10:55:35,2026-08-14,Bundesliga 2,Eintracht Braunschweig vs VfL Bochum,under25,1.85
2026-08-09,2026-08-09T10:55:35,2026-08-14,La Liga 2,Real Sociedad B vs CD Castellón,over25,1.65
2026-08-09,2026-08-09T10:55:35,2026-08-14,La Liga 2,Real Sociedad B vs CD Castellón,under25,2.3
2026-08-09,2026-08-09T10:55:35,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,over25,1.79
2026-08-09,2026-08-09T10:55:35,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,under25,1.99
2026-08-09,2026-08-09T10:55:35,2026-08-15,Bundesliga 2,1. FC Kaiserslautern vs Karlsruher SC,over25,1.49
2026-08-09,2026-08-09T10:55:35,2026-08-15,Bundesliga 2,1. FC Kaiserslautern vs Karlsruher SC,under25,2.42
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Accrington Stanley vs Colchester United,over25,2.05
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Accrington Stanley vs Colchester United,under25,1.73
2026-08-09,2026-08-09T10:55:35,2026-08-15,La Liga 2,Andorra CF vs AD Ceuta FC,over25,1.67
2026-08-09,2026-08-09T10:55:35,2026-08-15,La Liga 2,Andorra CF vs AD Ceuta FC,under25,2.05
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Barnet vs Salford City,over25,1.92
2026-08-09,2026-08-09T10:55:35,2026-08-15,League Two,Barnet vs Salford City,under25,1.76
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Barnsley vs Bromley FC,over25,1.88
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Barnsley vs Bromley FC,under25,1.89
2026-08-09,2026-08-09T10:55:35,2026-08-15,League One,Blackpool vs Wycombe Wanderers,over25,1.93
