snapshot_date,snapshot_ts,match_date,league,match,market,odds
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,AFC Wimbledon vs Colchester,btts_no,2.05
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,AFC Wimbledon vs Colchester,btts_yes,1.81
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Barrow vs Crewe,btts_no,2.08
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Barrow vs Crewe,btts_yes,1.78
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Birmingham vs Reading,btts_no,2.08
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Birmingham vs Reading,btts_yes,1.78
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Bristol Rvs vs Northampton,btts_no,1.95
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Bristol Rvs vs Northampton,btts_yes,1.88
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Burton vs Lincoln,btts_no,1.94
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Burton vs Lincoln,btts_yes,1.89
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Cardiff vs Sunderland,btts_no,1.93
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Cardiff vs Sunderland,btts_yes,1.98
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Cheltenham vs Newport County,btts_no,2.02
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Cheltenham vs Newport County,btts_yes,1.82
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Crawley Town vs Blackpool,btts_no,2.1
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Crawley Town vs Blackpool,btts_yes,1.82
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Doncaster vs Accrington,btts_no,2.07
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Doncaster vs Accrington,btts_yes,1.79
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Bundesliga 2,Elversberg vs FC Koln,btts_no,2.67
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Bundesliga 2,Elversberg vs FC Koln,btts_yes,1.48
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Exeter vs Rotherham,btts_no,2.1
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Exeter vs Rotherham,btts_yes,1.79
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Fleetwood Town vs Grimsby,btts_no,2.07
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Fleetwood Town vs Grimsby,btts_yes,1.79
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Bundesliga 2,Fortuna Dusseldorf vs Karlsruhe,btts_no,2.7
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Bundesliga 2,Fortuna Dusseldorf vs Karlsruhe,btts_yes,1.52
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Gillingham vs Carlisle,btts_no,2.06
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Gillingham vs Carlisle,btts_yes,1.8
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Bundesliga 2,Hamburg vs Hertha,btts_no,2.95
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Bundesliga 2,Hamburg vs Hertha,btts_yes,1.5
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Harrogate vs Bromley,btts_no,2.1
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Harrogate vs Bromley,btts_yes,1.77
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Hull vs Bristol City,btts_no,2.08
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Hull vs Bristol City,btts_yes,1.8
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Leeds vs Portsmouth,btts_no,1.88
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Leeds vs Portsmouth,btts_yes,2.1
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Leyton Orient vs Bolton,btts_no,2.03
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Leyton Orient vs Bolton,btts_yes,1.85
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Middlesbrough vs Swansea,btts_no,2.12
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Middlesbrough vs Swansea,btts_yes,1.76
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Millwall vs Watford,btts_no,1.83
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Millwall vs Watford,btts_yes,2.03
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Milton Keynes Dons vs Bradford,btts_no,2.32
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Milton Keynes Dons vs Bradford,btts_yes,1.63
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Bundesliga 2,Nurnberg vs Schalke 04,btts_no,2.65
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Bundesliga 2,Nurnberg vs Schalke 04,btts_yes,1.5
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Oxford vs Norwich,btts_no,2.13
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,Championship,Oxford vs Norwich,btts_yes,1.78
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Peterboro vs Huddersfield,btts_no,2.41
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Peterboro vs Huddersfield,btts_yes,1.6
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Salford vs Port Vale,btts_no,2.19
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League Two,Salford vs Port Vale,btts_yes,1.71
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Stevenage vs Shrewsbury,btts_no,1.67
2024-08-10,2024-08-10T00:00:00Z,2024-08-10,League One,Stevenage vs Shrewsbury,btts_yes,2.28
